Timestamp (UTC)	Timestamp (ms)	HR	RR	Body temperature	Battery
2016-11-09 19:31:06.708	1478719866708	128.0	486.0	35.384617	84.0
2016-11-09 19:31:07.732	1478719867732	128.0	484.0	35.384617	84.0
2016-11-09 19:31:08.731	1478719868731	144.0	474.0	35.384617	84.0
2016-11-09 19:31:09.727	1478719869727	144.0	474.0	35.384617	84.0
2016-11-09 19:31:10.717	1478719870717	146.0	460.0	35.384617	84.0
2016-11-09 19:31:11.721	1478719871721	146.0	618.0	35.384617	84.0
2016-11-09 19:31:12.735	1478719872735	119.0	602.0	35.384617	84.0
2016-11-09 19:31:13.732	1478719873732	119.0	646.0	35.384617	84.0
2016-11-09 19:31:14.739	1478719874739	144.0	260.0	35.384617	84.0
2016-11-09 19:31:15.735	1478719875735	144.0	482.0	35.384617	84.0
2016-11-09 19:31:16.737	1478719876737	161.0	472.0	35.384617	84.0
2016-11-09 19:31:17.756	1478719877756	161.0	332.0	35.384617	84.0
2016-11-09 19:31:18.74	1478719878740	136.0	486.0	35.384617	84.0
2016-11-09 19:31:19.749	1478719879749	136.0	556.0	35.384617	84.0
2016-11-09 19:31:20.758	1478719880758	127.0	530.0	35.384617	84.0
2016-11-09 19:31:21.764	1478719881764	127.0	478.0	35.384617	84.0
2016-11-09 19:31:22.763	1478719882763	131.0	310.0	35.384617	84.0
2016-11-09 19:31:23.747	1478719883747	131.0	500.0	35.384617	84.0
2016-11-09 19:31:24.776	1478719884776	162.0	466.0	35.384617	84.0
2016-11-09 19:31:25.755	1478719885755	162.0	442.0	35.384617	84.0
2016-11-09 19:31:26.772	1478719886772	126.0	434.0	35.384617	84.0
2016-11-09 19:31:27.768	1478719887768	126.0	518.0	35.384617	84.0
2016-11-09 19:31:28.774	1478719888774	128.0	488.0	35.384617	84.0
2016-11-09 19:31:29.763	1478719889763	128.0	470.0	35.384617	84.0
2016-11-09 19:31:30.768	1478719890768	125.0	472.0	35.384617	84.0
2016-11-09 19:31:31.786	1478719891786	125.0	468.0	35.384617	84.0
2016-11-09 19:31:32.781	1478719892781	126.0	480.0	35.51282	84.0
2016-11-09 19:31:33.782	1478719893782	126.0	482.0	35.51282	84.0
2016-11-09 19:31:34.801	1478719894801	125.0	472.0	35.51282	84.0
2016-11-09 19:31:35.787	1478719895787	125.0	478.0	35.51282	84.0
2016-11-09 19:31:36.772	1478719896772	126.0	468.0	35.51282	84.0
2016-11-09 19:31:37.797	1478719897797	126.0	478.0	35.51282	84.0
2016-11-09 19:31:38.795	1478719898795	125.0	488.0	35.51282	84.0
2016-11-09 19:31:39.806	1478719899806	125.0	480.0	35.51282	84.0
2016-11-09 19:31:40.775	1478719900775	124.0	492.0	35.51282	84.0
2016-11-09 19:31:41.803	1478719901803	124.0	494.0	35.51282	84.0
2016-11-09 19:31:42.812	1478719902812	122.0	494.0	35.51282	84.0
2016-11-09 19:31:43.811	1478719903811	122.0	504.0	35.51282	84.0
2016-11-09 19:31:44.806	1478719904806	120.0	546.0	35.51282	84.0
2016-11-09 19:31:45.792	1478719905792	120.0	516.0	35.51282	84.0
2016-11-09 19:31:46.805	1478719906805	116.0	532.0	35.51282	84.0
2016-11-09 19:31:47.797	1478719907797	116.0	536.0	35.51282	84.0
2016-11-09 19:31:48.8	1478719908800	113.0	526.0	35.51282	84.0
2016-11-09 19:31:49.809	1478719909809	113.0	538.0	35.51282	84.0
2016-11-09 19:31:50.799	1478719910799	112.0	536.0	35.51282	84.0
2016-11-09 19:31:51.809	1478719911809	112.0	534.0	35.51282	84.0
2016-11-09 19:31:52.834	1478719912834	112.0	576.0	35.51282	84.0
2016-11-09 19:31:53.828	1478719913828	112.0	562.0	35.51282	84.0
2016-11-09 19:31:54.834	1478719914834	108.0	596.0	35.51282	84.0
2016-11-09 19:31:55.839	1478719915839	108.0	616.0	35.51282	84.0
2016-11-09 19:31:56.849	1478719916849	101.0	602.0	35.51282	84.0
2016-11-09 19:31:57.84	1478719917840	101.0	590.0	35.51282	84.0
2016-11-09 19:31:58.848	1478719918848	100.0	578.0	35.51282	84.0
2016-11-09 19:31:59.836	1478719919836	100.0	558.0	35.51282	84.0
2016-11-09 19:32:00.851	1478719920851	104.0	560.0	35.51282	84.0
2016-11-09 19:32:01.849	1478719921849	104.0	560.0	35.51282	84.0
2016-11-09 19:32:02.85	1478719922850	107.0	552.0	35.51282	84.0
2016-11-09 19:32:03.866	1478719923866	107.0	550.0	35.51282	84.0
2016-11-09 19:32:04.87	1478719924870	108.0	556.0	35.51282	84.0
2016-11-09 19:32:05.854	1478719925854	108.0	544.0	35.51282	84.0
2016-11-09 19:32:06.877	1478719926877	108.0	554.0	35.51282	84.0
2016-11-09 19:32:07.854	1478719927854	108.0	260.0	35.51282	84.0
